source_ip,total_uploads,unique_file_types,unique_mime_types,unique_protocols,unique_signatures,unique_reporters,avg_vtpercent,max_vtpercent,known_malware,files_with_hash,exe_uploads,jar_uploads,rar_uploads,pdf_uploads,doc_uploads,zip_uploads,file_types_uploaded,top_file_types,unique_file_type_count,malware_ratio,hash_ratio,high_risk_uploads,suspicious_activity,exe_ratio,upload_rate,burst_score
1.54.235.132,9,5,5,1,7,4,0.0,0.0,8,9,2,2,0,0,0,0,"['exe', 'sh', 'vbs', 'elf', 'jar', 'jar', 'elf', 'elf', 'exe']","elf(3), exe(2), jar(2), sh(1), vbs(1)",5,0.8,0.9,0,0.8,0.2,0.0624,0.0006
1.54.58.152,21,8,7,1,8,6,0.0,0.0,19,21,2,4,0,0,0,0,"['jar', 'elf', 'elf', 'jar', 'elf', 'jar', 'sh', 'sh', 'jar', 'elf', 'elf', 'iso', 'exe', 'exe', 'elf', 'elf', 'elf', 'js', 'msi', 'xapk', 'elf']","elf(9), jar(4), exe(2), sh(2), iso(1)",8,0.8636363636363636,0.9545454545454546,0,0.8636363636363636,0.09090909090909091,0.0715,0.0014
1.54.87.0,2,1,1,1,2,2,0.0,0.0,2,2,0,0,0,0,0,0,"['elf', 'elf']",elf(2),1,0.6666666666666666,0.6666666666666666,0,0.6666666666666666,0.0,0.1206,0.0
1.55.131.247,6,4,4,1,4,2,0.0,0.0,4,6,0,1,0,0,0,0,"['jar', 'elf', 'elf', 'lnk', 'elf', 'bat']","elf(3), bat(1), jar(1), lnk(1)",4,0.5714285714285714,0.8571428571428571,0,0.5714285714285714,0.0,0.1053,0.0016
1.55.142.61,5,5,5,1,4,5,0.0,0.0,3,5,0,1,0,0,0,0,"['jar', 'ps1', 'sh', 'msi', 'elf']","elf(1), jar(1), msi(1), ps1(1), sh(1)",5,0.5,0.8333333333333334,0,0.5,0.0,0.0385,0.0009
10.10.5.24,1,1,1,1,1,1,0.0,0.0,1,1,0,1,0,0,0,0,['jar'],jar(1),1,0.5,0.5,0,0.5,0.0,0.0,0.0
102.82.50.210,2,2,2,1,1,2,0.0,0.0,2,2,0,0,0,0,0,0,"['elf', 'sh']","elf(1), sh(1)",2,0.6666666666666666,0.6666666666666666,0,0.6666666666666666,0.0,0.0212,0.0
103.131.16.26,5,4,3,1,4,3,0.0,0.0,5,5,1,1,0,0,0,1,"['elf', 'zip', 'exe', 'jar', 'elf']","elf(2), exe(1), jar(1), zip(1)",4,0.8333333333333334,0.8333333333333334,0,0.8333333333333334,0.16666666666666666,0.1163,0.0037
103.216.217.188,1,1,1,1,1,1,0.0,0.0,1,1,0,0,0,0,0,0,['elf'],elf(1),1,0.5,0.5,0,0.5,0.0,0.0,0.0
103.247.121.129,36,7,7,1,6,7,0.0,0.0,30,36,1,4,0,0,0,0,"['elf', 'msi', 'jar', 'jar', 'elf', 'elf', 'elf', 'elf', 'jar', 'jar', 'apk', 'elf', 'exe', 'elf', 'elf', 'elf', 'elf', 'elf', 'elf', 'apk', 'vbs', 'elf', 'elf', 'elf', 'sh', 'elf', 'elf', 'elf', 'elf', 'elf', 'elf', 'elf', 'sh', 'elf', 'elf', 'elf']","elf(25), jar(4), apk(2), sh(2), exe(1)",7,0.8108108108108109,0.972972972972973,0,0.8108108108108109,0.02702702702702703,0.1081,0.0018
104.231.209.246,1,1,1,1,1,1,0.0,0.0,1,1,0,0,0,0,0,0,['elf'],elf(1),1,0.5,0.5,0,0.5,0.0,0.0,0.0
105.143.24.81,1,1,1,1,1,1,0.0,0.0,1,1,0,1,0,0,0,0,['jar'],jar(1),1,0.5,0.5,0,0.5,0.0,0.0,0.0
109.226.117.230,10,5,4,1,4,4,0.0,0.0,7,10,1,1,0,0,0,0,"['elf', 'exe', 'elf', 'elf', 'apk', 'elf', 'elf', 'js', 'elf', 'jar']","elf(6), apk(1), exe(1), jar(1), js(1)",5,0.6363636363636364,0.9090909090909091,0,0.6363636363636364,0.09090909090909091,0.0694,0.0008
109.237.214.176,1,1,1,1,1,1,0.0,0.0,1,1,0,0,0,0,0,0,['js'],js(1),1,0.5,0.5,0,0.5,0.0,0.0,0.0
110.9.137.249,1,1,1,1,1,1,0.0,0.0,0,1,1,0,0,0,0,0,['exe'],exe(1),1,0.0,0.5,0,0.0,0.5,0.0,0.0
112.168.172.154,13,6,6,1,5,4,0.0,0.0,8,13,4,2,0,0,0,0,"['apk', 'exe', 'exe', 'jar', 'sh', 'elf', 'elf', 'exe', 'jar', 'elf', 'lnk', 'elf', 'exe']","elf(4), exe(4), jar(2), apk(1), lnk(1)",6,0.5714285714285714,0.9285714285714286,0,0.5714285714285714,0.2857142857142857,0.0264,0.0003
113.160.202.198,17,6,7,1,5,7,0.0,0.0,13,17,3,0,0,0,0,0,"['elf', 'elf', 'elf', 'elf', 'elf', 'elf', 'elf', 'exe', 'exe', 'hta', 'elf', 'elf', 'elf', 'exe', 'sh', 'apk', 'ps1']","elf(10), exe(3), apk(1), hta(1), ps1(1)",6,0.7222222222222222,0.9444444444444444,0,0.7222222222222222,0.16666666666666666,0.0689,0.0014
113.160.251.252,4,3,3,1,3,2,0.0,0.0,3,4,0,1,0,0,0,0,"['html', 'elf', 'jar', 'elf']","elf(2), html(1), jar(1)",3,0.6,0.8,0,0.6,0.0,0.0169,0.0005
113.161.164.168,9,5,5,1,3,3,0.0,0.0,7,9,0,0,0,0,0,1,"['sh', 'zip', 'js', 'elf', 'lnk', 'elf', 'elf', 'elf', 'elf']","elf(5), js(1), lnk(1), sh(1), zip(1)",5,0.7,0.9,0,0.7,0.0,0.0409,0.0007
113.161.179.103,5,3,3,1,3,3,0.0,0.0,5,5,0,2,0,0,0,0,"['jar', 'elf', 'jar', 'elf', 'ps1']","elf(2), jar(2), ps1(1)",3,0.8333333333333334,0.8333333333333334,0,0.8333333333333334,0.0,0.0305,0.0005
113.162.100.59,13,7,5,1,8,6,0.0,0.0,11,13,2,2,0,0,0,2,"['elf', 'elf', 'zip', 'elf', 'zip', 'jar', 'sh', 'jar', 'exe', 'ps1', 'js', 'exe', 'elf']","elf(4), exe(2), jar(2), zip(2), js(1)",7,0.7857142857142857,0.9285714285714286,0,0.7857142857142857,0.14285714285714285,0.065,0.0014
