timestamp,source_ip,destination_ip,protocol,honeypot,identifier,sha256_hash,md5_hash,sha1_hash,file_name,file_type,mime_type,signature,malware_reporter,vtpercent,source_honeypot,source_hashes
2026-04-15T01:07:15Z,192.168.113.203,151.92.52.247,HTTPS,dionaea-smb-02,0f909d3f-0346-4e04-814d-afac5482d520,d76e5e60fdc852bcdc292b5e49866c7ba4e19c7fd8c282a2755627f5bd4448cb,a7ab9240c0ddeafd17e701c31813afbe,aa7bdc19d94bb16da117b8a5e581c2a81744bf63,helper_x86.exe,PE32+ executable,application/x-msdownload,Downloader.Agent.LockBit,abuse.ch,0,Shodan Honeyscore,6f930e455b21e120|71669da70a307253
2026-04-15T12:50:34Z,192.168.215.173,74.103.135.16,TCP,opencanary-09,724731f8-0293-44d1-a78b-0f47025c22b7,3ba7d86dcaab3f23f3f7b84ce942b116b0e301c2a5a1231bf1d3c6675ff3d564,af56c545c05650f7469edb46fba58074,0a8e3eced71eb204e0a7c6611f694702433ce095,svchost_new.pdf,PDF document,application/pdf,Infostealer.RedLine.TrickBot,VirusShare,0,AbuseIPDB,e5b7c528f2d6b6b6|bc88106bf4be8ef3|16517c5a70f6e9ea|c989a40b61546844
2026-04-15T13:31:59Z,192.168.199.26,170.20.53.171,SSH,opencanary-09,ee3e15ea-e707-46f8-8dbb-9eb5e34bef9c,569b9bb6a5afce7d71bfb1ca709f9a52ff2f855916dca088e107da625ee1068d,f63fa15d45bb37fcfd3f17c02237a9f0,a38158a13454067956ac26ec0aee2cbbf6e50fdc,keygen_v2.dll,DLL (PE32),application/x-msdownload,Rootkit.Hidden.TrickBot,HybridAnalysis,0,Packet Storm,44e430b164a67a8c|a44bf848dc8ca0db|f2d3ba18cab3fc94|d039abdb8cbd3d7e
2026-04-15T15:31:33Z,192.168.66.239,223.2.87.87,TCP,cowrie-ssh-01,4a4bdc87-ad5f-4c7d-9009-43e88bf30391,6fcce0f1ac7fd0407f54f823756c28737505467aacba59b05a2b3ff5055e1578,ae5d1645624915778170e779c248d6bf,928dd5e67282c5e74fd3b024081e02c93b6a9fd2,agent_v2.py,Python script,text/x-python,Keylogger.PWS.RedLine,JoeSandbox,0,SANS ISC,448fce7bd1028c44|451171d7c50c7f9c
2026-04-16T04:36:30Z,192.168.231.103,201.69.23.191,SMB,dionaea-smb-02,ecb6d093-1875-4d56-b973-a0e7b1be775d,bb9bd1b334902620555adc133ca722f7f9b1a76958c085e03cea902de67ca063,8816efb1893bdf39764e7255f7d271c4,d5a8b1d79c6940c96246ea07252ff1461aeeb307,helper_final.sh,Bash script,text/x-shellscript,PUA.Bundler.NotPetya,JoeSandbox,0,Feodo Tracker,35452c6524b4a5c2|b16303aa114cf5c9
2026-04-16T21:07:28Z,192.168.188.198,14.205.154.84,FTP,heralding-10,0ef4d572-dd30-48cb-9f40-4392b1bac503,33248d85d675daf18c85f4d5afbd4c9e631253dfc259e27aac93b7a61e9f88c8,1cd509f05763c050f24be77e0b98365c,83494fd329bc1ea9b30f8fe069d70829ee20be65,installer_v2.xlsx,MS Excel spreadsheet,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Spyware.Stealer.Raccoon,MalwareBazaar,0,CyberGordon,9e20820b71b5fffe|395685403acabb7f|827dd6f07714b701
2026-04-18T03:22:42Z,10.15.32,66.237.98.36,HTTPS,rdpy-rdp-07,3864d8cf-6ff2-4d8e-8347-b9b6a6471af4,d623ee3a3f979357f9289dad7d7b21f147407d3125b2f78a4523e94213000e71,78370f9da470b6224d13134c01020fa6,d5c172c95c338656ac7a3144f1e73acbe6e3c1e6,svchost.macho,Mach-O 64-bit,application/x-mach-binary,Rootkit.Hidden.Emotet,URLhaus,0,SANS ISC,e5c43ae5aa31bce7|3d49aa4193fe47f6|91c86897aa5b633c
2026-04-19T00:38:31Z,10.138.244,23.192.249.225,DNS,glastopf-web-03,1d5e09c4-fab7-4805-a137-f398d3fab05a,3743c8c6f506faefd06b16b587eee03bd189b6496923e82750a7f2d4bbf26c71,5e8c1ab15abf53f6fb9d9883a6afaaa4,2dfeb11e8326cbe00c596617a9b201cbe5a668fc,agent64.exe,PE32 executable,application/x-msdownload,PUA.Bundler.BlackCat,JoeSandbox,0,SANS ISC,52864cf45c93a788|8fe3ca309e41e5fe|d50666c9fa82772d|5eaddf1b30db4812
2026-04-19T03:47:29Z,172.16.130.171,216.104.43.71,ICMP,glastopf-web-03,e5e99b8e-feb9-43db-a7df-15ddf8d14591,4e5a9926409058858f7c001ce162b430cbc8b96791eb7f92f4d6eae53a651df3,05088212e01606eb7f96a1a15739d370,6c49b02fe37c91c00304e8781a38d0bdbf7fa96a,helper_new.docx,MS Word document,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Keylogger.PWS.Cobalt Strike,URLhaus,0,MHN,37284287bde83935
2026-04-21T08:20:29Z,10.178.195,125.195.55.116,HTTPS,cowrie-ssh-01,19a12fda-3a35-467d-9d6d-4ddecd689abf,637cfabbf22b45b064fc1b2ad4e886dcf73c0ff30aee0d622b01be8c804611e1,6d0ec9c171b3ef874253fef1a5f22fd4,fb53684923dad6a7eeb901f0ed51afe65e717725,agent32.exe,PE32+ executable,application/x-msdownload,Downloader.Agent.NotPetya,JoeSandbox,0,Packet Storm,329cfed8b3dd5ab7|b013369588d7119c
